customer_id,product_id,quantity,transaction_date,transaction_id
CUST6340,149804,9,2023-05-08T16:52:01.726476,b42150b9-fe1c-444a-afc3-176a4a2dbd15
CUST0567,212622,3,2023-11-03T13:27:36.711034,69383c19-85ef-488c-9e09-13489dd072d4
CUST3961,213275,1,2023-08-31T10:15:42.380399,63e52850-2fa6-4c2d-beb7-14935bbb26fa
CUST7999,209308,2,2023-08-30T09:24:23.620121,18bccbb7-9310-4ea3-b8ad-8b01fe4fa15d
CUST9325,201413,5,2022-06-22T23:35:33.031496,5c1c46c5-ab5e-497b-ba98-f21af4b35380
CUST5116,148539,2,2023-12-26T03:25:04.596788,7229eec2-d18c-4e3b-8a4d-544725b71047
CUST8064,209145,2,2022-07-31T14:37:28.102007,a11517fe-9e1f-4b07-82ee-8311e288a6f5
CUST4142,209336,4,2022-09-08T06:29:00.005566,4af40e93-214f-42b0-8a52-4b5b9ff26d51
CUST2881,149034,9,2023-08-13T18:44:47.843313,a922ff4c-c153-46bc-8b95-8840fa7f8684
CUST6302,139729,6,2023-07-28T09:21:49.980753,b6d81598-ad25-44a4-9843-3ea54b6b985b
CUST5400,211149,5,2023-05-01T00:07:15.771153,d43a4567-a4e8-498f-884d-2265532568a7
CUST1878,212612,1,2023-08-11T05:34:04.233132,d50bdd0a-af31-46a1-bbef-d8589915febc
CUST1864,212316,4,2024-02-04T17:29:15.922709,3da8ef6b-e96c-41ea-9ac2-201372e9b890
CUST3074,152943,8,2024-02-21T10:40:54.424601,99906d11-092f-4396-a6a8-f23b75e88088
CUST4995,133430,10,2024-02-20T15:25:08.450930,3baf88cf-6c06-444e-8b44-c99cd975446c
CUST5061,150393,2,2023-04-05T04:45:45.092430,598f5289-81c0-4e43-8bb1-de43e7578fe0
CUST2227,149929,4,2022-09-08T04:50:47.259535,6fb9770a-1aaa-48ed-a726-a41098fc2a8c
CUST5126,134872,10,2024-01-14T11:16:37.346849,55d1f41a-bde8-45ec-8b90-f89a151529b0
CUST5471,149882,7,2022-11-17T07:05:22.376238,55a0c952-c427-4a66-8c9a-cc12faecceae
CUST1528,212335,6,2023-08-26T01:38:21.372900,5a6c5806-2ebd-4789-9644-ae0458b7f86d
CUST6389,211277,2,2022-12-06T01:12:04.636694,f1a69cea-558e-4a00-b640-037223d74242
CUST8935,200234,7,2023-12-19T14:18:22.083004,c7442226-3951-4398-b5fc-3c50dda88542
CUST1754,152537,9,2023-09-09T04:30:24.531872,21026fcb-5af9-45df-8d09-c36c53c6498a
CUST8885,210947,7,2023-06-21T09:02:32.810186,3b6cab9b-d8d7-4d01-b609-98922c860fd3
CUST7185,210937,8,2023-07-18T21:36:10.658225,698341c9-7f34-423e-b655-2f9df4d3db9d
CUST9050,204342,1,2024-03-03T03:42:41.489136,613fc80c-9f6f-43d2-a978-0714ff935326
CUST0434,131002,7,2022-07-29T09:38:06.787019,9626079a-7ea8-4aeb-9cd0-b1564da0aef8
CUST4097,211592,8,2022-03-30T00:48:46.110691,22e8a16e-39c1-4e62-8ea6-2e3286250e76
CUST0592,209749,10,2023-05-14T04:46:02.649406,5f19e392-052b-49c4-8bad-b2ff57d65a66
CUST3312,200538,2,2022-03-26T14:19:09.041312,8cf78540-ccfc-49d2-b74c-4a949891daa5
